casual,registered
733,6877
1340,5950
1027,4488
949,4036
214,1730
480,1949
988,6470
1478,6634
137,1714
516,4546
1418,6634
1171,6264
1096,6259
979,6457
135,3787
289,1767
1027,6323
1017,6479
1685,3221
1016,6800
1381,6709
3283,3308
2290,4562
1378,6791
1029,6249
1329,6261
145,1672
466,5220
558,2685
321,1871
661,3846
1173,6531
1110,6249
742,6877
999,6458
1070,6697
1016,6470
2006,3296
961,6765
1069,6251
1181,6254
1485,6714
615,4531
787,6873
139,1778
787,2733
1516,6640
172,1299
802,6633
1116,6868
123,1562
1096,6432
54,768
785,6856
904,5323
803,6839
992,6234
2795,4665
1024,6252
841,6714
1269,6335
841,6237
784,6928
1135,5831
1003,6444
1044,6821
115,3048
969,4022
740,4238
100,1707
2,20
898,4414
1048,6755
989,6249
1033,2339
329,4841
780,6928
2557,3486
181,3528
936,6435
676,3725
1158,6485
1043,6391
179,1506
1009,6800
1088,6229
1074,6229
1174,6530
1043,6457
1026,5504
1259,6852
647,4138
1172,6541
872,5339
1341,6335
1311,6852
885,2446
1083,6247
218,1897
220,2545
894,3714
743,6894
1058,5378
785,6904
747,5123
1128,5656
1485,6253
1040,6493
233,3578
254,2169
1015,6445
1035,6478
1162,6242
1044,6479
2015,4874
1174,6254
986,6457
1148,6249
727,4164
1420,6257
2166,5167
1338,6333
1273,6268
227,3604
748,6870
1223,6259
787,6873
1103,6242
222,1026
909,4008
186,1799
741,6894
1065,6705
788,6626
1050,6820
1247,6915
1030,6252
1078,6269
794,6850
1006,6402
1128,6478
1050,6493
791,6850
907,3695
1250,6916
1082,6385
1400,6257
373,3662
222,1806
1364,6390
1363,6392
1325,6257
378,4881
838,4460
126,3498
782,6856
1066,6389
980,6283
435,3107
1338,6328
1249,2624
777,6877
746,6823
1058,6752
1092,6251
1003,6423
1042,6457
397,1192
662,3596
984,6458
1138,6249
780,6856
269,3828
1208,3341
373,5122
449,3746
954,5336
410,3658
1068,6482
1658,3253
975,6556
1033,6434
1051,3854
533,3594
1066,6482
432,4484
1051,5042
1027,6423
2252,4857
163,3614
996,6234
1102,6252
307,1920
1124,6242
529,2738
759,6667
843,6667
370,3816
2806,5284
2494,5147
1192,6252
1063,6239
209,1953
1325,6328
965,6738
538,3248
362,5306
832,6667
126,2468
1004,2713
871,6553
1281,4614
1421,4110
788,6803
1178,6249
191,1700
1319,5711
969,6268
1115,6478
1252,5146
1020,6423
1109,6432
915,6284
536,3319
1132,6473
1443,6257
1074,6506
1010,6444
2090,4446
1041,6249
883,6652
751,6642
786,6928
845,6618
875,3852
53,1552
788,6850
1063,6757
318,2629
948,6278
1008,6800
1363,6402
1044,6817
971,6268
767,4280
331,5398
695,4169
815,3771
993,6249
178,3562
